smiles,chem_id
CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCCC4)cc(C(F)(F)F)c3)ccc21,CHEMBL4069922
Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,CHEMBL2140408
CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1,CHEMBL1171523
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,CHEMBL1240703
CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccncn3)CC4)cc(C(F)(F)F)c2)CC1,CHEMBL4103865
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,CHEMBL1614701
CCc1ccc(C(=O)Nc2cccc(CN3CCN(C)CC3)c2)cc1-c1cccc(-c2cnc3cnccn23)c1,CHEMBL4544048
Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,CHEMBL1922094
COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,CHEMBL3609637
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,CHEMBL607707
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,CHEMBL3545110
COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccccc4C(F)(F)F)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,CHEMBL4447225
CN([C@@H]1CCc2c(CC(=O)O)c3cc(S(C)(=O)=O)ccc3n2C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL1643772
COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccccc4C(F)(F)F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,CHEMBL4587811
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,CHEMBL521179
O=c1c2ccccc2[se]n1-c1ccccc1,CHEMBL51085
FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,CHEMBL3813873
Cc1ccc(O)cc1-n1c(N)c(C(N)=O)c2nc3ccccc3nc21,CHEMBL3321809
FC(F)(F)c1ccc(/C=C/c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1,CHEMBL1614707
CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1ccco1,CHEMBL4165977
Cc1cc(NC(=O)c2cccc(S(F)(F)(F)(F)F)c2)cc(-n2ccn3nc(-c4cccnc4)cc23)c1,CHEMBL4526351
CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCN(C5CCCCC5)CC4)cc(C(F)(F)F)c3)ccc21,CHEMBL4096896
CCc1ccccc1C(=O)Nc1n[nH]c2c(C)c(F)c(C3C(C#N)=C(C)N(C)C(C)=C3C#N)cc12,CHEMBL4580220
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1cncc(C(N)=O)c1,CHEMBL552425
CC(C)Nc1sc(C(=O)c2ccc(Cl)s2)c(N)c1C#N,CHEMBL4563315
CCc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1cc(OC)cc(-c2cnc3cnccn23)c1,CHEMBL4466438
CNc1ncc2c(-c3ccc(N4CCN(C)CC4)nc3)nn(CC3CCCC3)c2n1,CHEMBL4208852
COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(-c5ccsc5)c4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,CHEMBL3263964
O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c1,CHEMBL1800685
CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1,CHEMBL1163565
FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21,CHEMBL1163566
COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1,CHEMBL1163567
CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,CHEMBL592445
Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)C[C@@H](Nc3cncnc3)C4)cc(C(F)(F)F)c2)cn1,CHEMBL4472914
CCCN(c1cncnc1)[C@@H]1Cc2ccc(C(=O)Nc3cc(-n4cnc(C)c4)cc(C(F)(F)F)c3)cc2C1,CHEMBL4470262
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,CHEMBL1229517
NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,CHEMBL2325741
CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(Cc3cncnc3)CC4)cc(C(F)(F)F)c2)CC1,CHEMBL4079610
O=c1nc(-c2ccccn2)sc2ccccc12,CHEMBL4516611
CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCN(C)CC4)cc(C4CCCCC4)c3)ccc21,CHEMBL4083149
CC(C)N1C(=O)C(NCCCN(C)C)=C(c2cn(C)c3ccccc23)C1=O.Cl,CHEMBL4533018
C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1,CHEMBL4077123
CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,CHEMBL3264002
CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(F)(F)F)n(C)n3)c2)ncn1,CHEMBL4076112
Cc1nc(N2CC[C@@H](O)C2)ncc1-c1cc(C(F)(F)F)cc2[nH]ncc12,CHEMBL3799512
COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,CHEMBL3184679
CN1CCN(CCCNc2ncc3cc(Oc4ccc(F)cc4F)c(=O)n(C)c3n2)CC1,CHEMBL3746022
Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C(C)(C)C)cc1,CHEMBL4552180
O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1N1CCCC1,CHEMBL4555459
COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccccc4C(F)(F)F)cc3F)ccnc2cc1OCCCN1CCOCC1,CHEMBL4536115
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1NCc1cccnc1,CHEMBL4447700
CC1Cc2ccc(C(=O)Nc3cc(CN4CCN(C)CC4)cc(C(F)(F)F)c3)cc2CN1c1cncnc1,CHEMBL4096111
CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCN(C)CC4)cc(C(F)(F)F)c3)ccc21,CHEMBL4087485
CN1CCN(Cc2cc(NC(=O)c3ccc(C(C)(C)C)c(C#Cc4cnc5cnccn45)c3)cc(C(F)(F)F)c2)CC1,CHEMBL4164870
Nc1c(C(=O)NCc2ccc(C(=O)NCCCC3CCCCC3)cc2)cnn1-c1ccccc1,CHEMBL4436748
O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1,CHEMBL1163518
O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,CHEMBL1163510
O=C(N[C@H]1CCCCC/C=C\C2C[C@@]2(C(=O)O)NC(=O)[C@@H]2C[C@@H](Oc3ccncc3)CN2C1=O)OC1CCCC1,CHEMBL4516471
O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,CHEMBL2204495
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,CHEMBL91829
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CHEMBL1336
O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F,CHEMBL2107832
C[C@H]1CN(c2cc(-c3nn(C)c4ccc(OC5(C)CC5)cc34)ncn2)C[C@@H](C)O1,CHEMBL4560589
